"HolderAddress","PrivateTag","Balance","PendingBalanceUpdate"
"0xb5cfbff77ef30c314081871150ccdf509c5c88ac","-","4.991428455444005375","No"
"0xfd5b0b6f4b7108616c206bb0bfc3ddec1cc3fc6e","-","4.990010100026318336","No"
"0xcaf43b095c2ad696f1a460edc6b63ccba213b890","-","4.980782648475603083","No"
"0x2a88487328e89fe6c3b71706069715f301f4beb4","-","4.975496050386037721","No"
"0x732ff781bcfeffeeda603568f5e1af95375fd5f0","-","4.972652319483044705","No"
"0x853192a6fa6084105d17d076c95f0f0fc468e718","-","4.968472373261723102","No"
"0x8e32c26bbbdaae0e5f040ec89aec8d8d711c693c","-","4.901278147988289087","No"
"0xef7aa4b9aca9d0d9de708401b17124fd356d055b","-","4.887706754171342662","No"
"0xc112d683cced976815e6071c1fd09e58938a6cc9","-","4.875720735277415197","No"
"0x9e4074662b07b2864e45f959796fd68deeebafd4","-","4.857852150496810308","No"
"0x7daa9090f9ff1c4277fbc247deff97b835c8a1a9","-","4.849413533627622165","No"
"0xb92489a130241f7e6e35fecbb7bfb453ce815a49","-","4.798826817032828834","No"
"0x57db846d64b8232135c7df9fb1efba32f6b1ea45","-","4.792799103056902504","No"
"0xfd5b8492d0738c18e25dbd2cf74d2f19c23f3c57","-","4.788681128631364864","No"
"0x886a881ef2d412cfdefd45dec0d08a21909f5f4f","-","4.774079546421236267","No"
"0x73dac22de7b0984b417e954b7ce3cb611b793a33","-","4.769161700968350446","No"
"0x69305b08b84443b36d93301ebe4dd9c0774f20e9","-","4.757592770158680675","No"
"0x2729a037a02c88789a27eb668e3bdac553715bc2","-","4.752889031395617522","No"
"0x257d74fc229f91de6285a4c7bdd6d5004de9aa31","-","4.729160939752015252","No"
"0x2d7b5ca378b7a8ac7fac520b9512dd219b1bbeea","-","4.694814939089840788","No"
"0x2effc568185a1111f373818fae2705068c995a12","-","4.669245660853634741","No"
"0xc714effacd4b1cd10a7283f1ea519ff4828295fa","-","4.669245660853634741","No"
"0x24171d47fd70486908a79698eba44044646e6c56","-","4.669245660853634741","No"
"0xd3a48adc48a3dc809253d78adfa523e1ef764ba9","-","4.669245660853634741","No"
"0xa9051330b5294b59618935d18904e9d29643bd08","-","4.662687871105877843","No"
"0xd5f05cb49012090ab5dfbb57152c2fb7668cfcc9","-","4.657529954469831854","No"
"0x642667233364538cdfac65b1678fd3481f3f7cb4","-","4.65288005442038784","No"
"0xe8b56c2414d3537a81ba7aa13edad95dcdd5ed22","-","4.641226048000927942","No"
"0x54d0069ad0984c1489a0394dea3a14c908940c89","-","4.562127557455860277","No"
"0x7f92c122944a416dd53e1a2cea027a5635c1822d","-","4.560157028218437256","No"
"0xf56285aa6a3e051d988586748ab7f6cb56d5d00e","-","4.535109052376789106","No"
"0x3733acd17b4a3d3a2048378f003c22ed986932a8","-","4.535109052376789106","No"
"0x937ed490ae7564cc0e465a8e3e89815195584bdb","-","4.535109052376789106","No"
"0x43f8f1b65e707a9bfe69b1a6171ac36f24391ed1","-","4.535109052376789106","No"
"0x68468aca67a6c95d51733029d6eca6c9cab45788","-","4.535109052376789106","No"
"0x7261017c9c0ef28830ee082df398dc60ede7ca5b","-","4.535109052376789106","No"
"0x716cf8527dd500b1e56afbf26a2a17f83632e6ef","-","4.477932485393175047","No"
"0xac573ee9d76d1294046da953b247d666d025adb5","-","4.471473435411547174","No"
"0xdb59dc699a5383ed8659531ac31077978ddd0bc2","-","4.453666232276580042","No"
"0xbc3a058d1c919f6b1f48e8846246d04d467902c8","-","4.440022719952939993","No"
"0x99823bb8557e8bdd09eab9d3a05931944f144a27","-","4.435255","No"
"0xff794ff176dde7640064983d8f2b942b12a4ab7d","-","4.372584156381260444","No"
"0x93d0bd41dee23758fe531fea2c8dcbf5a85d9c90","-","4.354233312563131422","No"
"0xba1333333333a1ba1108e8412f11850a5c319ba9","-","4.271602408655393057","No"
"0xf37acb247ea49132431b9b3500524af0c95e0ab4","-","4.251712429438487741","No"
"0xa66befa5048bbb54d62c7a0a9c38296642a08503","-","4.214821816619490059","No"
"0x6ef3e9ea05d6ee5db72e115ea2ff23c1809c7c44","-","4.206045528849441456","No"
"0x76951bbde24435b37d3742bbdc7a955534c44c24","-","4.186788186961813309","No"
"0x8f619647728e881ccebe86f70ca65471f43ea93f","-","4.173516793539847406","No"
"0xb89672d86738007f39597b7b780a01db4ed29185","-","4.151321900814295073","No"
"0x28b15e32cce0adbd3786648e2aad7af00696a2e3","-","4.150718727779173627","No"
"0xf871145a0458ec932a2b8494762d9206de2e64f6","-","4.055277074243065626","No"
"0x8ad353f9525d414b8a4a0de4623ad2efdff3df8e","-","4.025272847557298093","No"
"0x52c3cbf823c80b4e876b15a0acf4cf551d25e952","-","4.021216664294301242","No"
"0x5c621140f5918120ee6c15fd72c2baec8af89505","-","3.99510921102399638","No"
"0xd5d3c3ed73827ddeb42286cb19a42ce1b369a338","-","3.981553373763572685","No"
"0xf7cfbe0ec4c5b5c48fee517b1c69b68b7bf6fad0","-","3.979572512007133487","No"
"0x32b492e061abe4f6b54fbe92bf0667f24dc79542","-","3.979560177532331349","No"
"0x9b8eabbcbe8d6b33037e85a515679d118039861e","-","3.964496966991027498","No"
"0x79a94077ac9ff31a9e728a25bf9a549affea1632","-","3.958291579296560103","No"
"0x06db4515b5ff41c2741211f5d371f9b4865f8168","-","3.957818155631070289","No"
"0x3db5dfcaa6e09c8e9e57f8763af834216329b027","-","3.890161701310144277","No"
"0xbc4905a5db777d88573279c72a02eeb6964d2d18","-","3.799416353457890394","No"
"0x3fd744fe82e9f9fce3f5afc43dc5c7c23616b9ff","-","3.782802563935194779","No"
"0x4fcf3068ee4e6aefedd1273a770ce26f843f08d4","-","3.673907273632429927","No"
"0x69015e26456e7a3e6eace2bab7aad194b6a8500d","-","3.650278544949168339","No"
"0x42daeb9ca091e3933c8ee93c029701b926b1f336","-","3.598245072999625577","No"
"0x9f3e781b25501a6b9051556b8058812d7ba30549","-","3.567463487750405399","No"
"0x68f4400dac3a94d77c7f6bd12976ff5704253deb","-","3.536307442730639565","No"
"0xf12d3840e427235cb90ea97600fe88e17527a570","-","3.496135510417672802","No"
"0xbeaefb39a56f2c3f2f771e08549bb784e2891159","-","3.484889194266871368","No"
"0x4ac7f4ee4a2600acfbd32008c95abe9871273ddf","-","3.464881749219994855","No"
"0x55476e7207b2d42f315cf41cfa93b7a0f7cecf27","-","3.427943526580841061","No"
"0x7ca13ff06d9962dffc8298dad0d10b468523c2fb","-","3.427658926847505744","No"
"0xec995dfe889e8257317a5a4d22530008520388cb","-","3.386447715318706359","No"
"0xc0e9444373e58e69ec564ed955d23c8f21a0a30d","-","3.32179238384313047","No"
"0x0482b2aa10783e226bada033ed4084d60bfd1d94","-","3.317698976367595364","No"
